,open,high,low,close
2021-07-05 22:00:00,33768.92969,33967.14062,33702.89062,33926.48047
2021-07-06 00:00:00,33921.69922,34829.96094,33921.69922,34788.30078
2021-07-06 02:00:00,34807.67969,34940.12891,34655.82812,34872.28906
2021-07-06 04:00:00,34898.26172,35066.00000,34076.14844,34198.21875
2021-07-06 06:00:00,34204.57031,34256.07812,33786.87109,34075.89062
2021-07-06 08:00:00,34035.01172,34461.80078,33817.98828,34135.03906
2021-07-06 10:00:00,34145.80078,34228.35156,33896.75000,34057.30078
2021-07-06 12:00:00,34036.33984,34120.82812,33575.85156,33944.98828
2021-07-06 14:00:00,33908.39844,34164.98828,33773.35938,33996.66016
2021-07-06 16:00:00,33994.55859,34081.16016,33691.91016,33752.01953
2021-07-06 18:00:00,33710.71875,34247.96094,33710.71875,34220.89844
2021-07-06 20:00:00,34177.30078,34392.55859,33960.35156,34200.00000
2021-07-06 22:00:00,34242.10156,34477.80078,34012.17969,34436.87109
2021-07-07 00:00:00,34475.98828,34867.28906,34393.21875,34815.71094
2021-07-07 02:00:00,34843.37891,34893.10156,34646.33984,34692.44922
2021-07-07 04:00:00,34717.14062,34906.14062,34667.60156,34696.94141
2021-07-07 06:00:00,34685.51953,34970.78125,34485.78906,34832.05859
2021-07-07 08:00:00,34850.00000,35031.37109,34687.14062,34820.19141
2021-07-07 10:00:00,34832.32812,34872.89062,34482.98047,34533.69141
2021-07-07 12:00:00,34550.00000,34681.14062,34460.17969,34635.01172
2021-07-07 14:00:00,34574.55078,34780.42188,34568.62891,34628.80078
2021-07-07 16:00:00,34597.85156,34616.96875,34119.98828,34239.66016
2021-07-07 18:00:00,34206.67188,34273.00000,33795.76172,33862.33984
2021-07-07 20:00:00,33852.10938,33921.19141,33111.07031,33300.01172
2021-07-07 22:00:00,33290.92969,33421.37891,33100.00000,33328.76172
2021-07-08 00:00:00,33274.78906,33358.98828,32857.98047,32857.98047
2021-07-08 02:00:00,32929.14844,33473.67969,32366.21094,32489.27930
2021-07-08 04:00:00,32459.31055,32676.02930,32274.43945,32569.94922
2021-07-08 06:00:00,32551.74023,32724.03906,32096.43945,32720.44922
2021-07-08 08:00:00,32674.86914,32973.42969,32351.06055,32498.66992
2021-07-08 10:00:00,32507.33008,32916.37109,32501.44922,32900.96875
2021-07-08 12:00:00,32882.98828,33003.07812,32678.91992,32860.14844
2021-07-08 14:00:00,32920.91016,33114.14062,32657.75000,33008.39062
2021-07-08 16:00:00,33004.53906,33045.07812,32684.89062,32684.89062
2021-07-08 18:00:00,32698.58008,32877.39062,32567.88086,32866.32031
2021-07-08 20:00:00,32357.47070,32420.63086,32310.59961,32407.53906
2021-07-08 22:00:00,32701.53906,33050.01172,32688.50977,33013.69922
2021-07-09 00:00:00,33069.33984,33155.42188,33005.62891,33011.01172
2021-07-09 02:00:00,32945.75000,33041.00000,32785.67969,32847.62891
2021-07-09 04:00:00,32904.28906,33028.89062,32630.08984,32915.41016
2021-07-09 06:00:00,32914.44141,32997.00000,32694.57031,32777.67969
2021-07-09 08:00:00,32787.76953,33459.32812,32650.49023,33433.30078
2021-07-09 10:00:00,33385.07031,33625.00000,33340.48047,33583.37891
2021-07-09 12:00:00,33607.60938,33645.21875,33430.57031,33462.05078
2021-07-09 14:00:00,33481.82031,33481.82031,33306.32031,33448.98828
2021-07-09 16:00:00,33464.28125,33949.62109,33390.01172,33895.82812
2021-07-09 18:00:00,33890.30078,34096.44141,33796.01953,33796.01953
2021-07-09 20:00:00,33825.42188,34220.85156,33773.71875,33773.71875
2021-07-09 22:00:00,33769.48828,33863.76953,33679.78906,33802.66016
2021-07-10 00:00:00,33768.19141,33905.35156,33518.23047,33678.53906
2021-07-10 02:00:00,33643.41016,33861.96875,33603.53125,33771.83984
2021-07-10 04:00:00,33751.76953,33902.37109,33689.05859,33732.57031
2021-07-10 06:00:00,33713.82031,33892.03906,33571.42969,33813.64062
2021-07-10 08:00:00,33785.67188,33933.60156,33669.39844,33691.39844
2021-07-10 10:00:00,33687.00000,33915.23828,33656.44922,33872.26953
2021-07-10 12:00:00,33872.26172,34186.71875,33299.64062,33413.00000
2021-07-10 14:00:00,33368.76953,33564.57031,33339.53906,33397.55078
2021-07-10 16:00:00,33389.12109,33433.32812,33066.01953,33423.00000
2021-07-10 18:00:00,33425.87109,33680.57812,33425.87109,33510.00000
2021-07-10 20:00:00,33530.39062,33795.10156,33465.51953,33621.80859
2021-07-10 22:00:00,33622.44141,33668.60156,33412.62109,33412.62109
2021-07-11 00:00:00,33448.98047,33624.64062,33316.32812,33587.82031
2021-07-11 02:00:00,33615.14844,33640.00000,33383.98047,33499.48047
2021-07-11 04:00:00,33519.58984,33836.71094,33445.08984,33693.39844
2021-07-11 06:00:00,33711.35156,33831.67188,33635.92188,33815.71875
2021-07-11 08:00:00,33845.19922,33918.28906,33671.48828,33918.28906
2021-07-11 10:00:00,33962.66016,33989.03906,33809.64062,33948.89062
2021-07-11 12:00:00,33953.64844,34073.62891,33816.37109,33900.76172
2021-07-11 14:00:00,33899.19141,33977.78906,33838.03906,33892.03125
2021-07-11 16:00:00,33864.69141,34580.87891,33767.67188,34473.05078
2021-07-11 18:00:00,34535.28906,34576.07031,34194.98047,34227.51953
2021-07-11 20:00:00,34248.00000,34335.78906,34078.32031,34128.41016
2021-07-11 22:00:00,34144.75000,34512.60938,34083.83984,34443.19141
2021-07-12 00:00:00,34463.21875,34593.51172,34184.98828,34293.87891
2021-07-12 02:00:00,34327.92188,34500.73047,34211.71875,34271.92969
2021-07-12 04:00:00,34278.32812,34468.92969,34067.62109,34067.62109
2021-07-12 06:00:00,33918.58984,33918.58984,33535.00000,33535.00000
2021-07-12 08:00:00,33534.01172,33619.35156,33354.44922,33563.01953
2021-07-12 10:00:00,33556.85156,33580.07812,33353.01172,33354.92188
2021-07-12 12:00:00,33333.33984,33412.60938,33071.50000,33108.07812
2021-07-12 14:00:00,33102.08984,33330.03125,32801.01172,32808.91016
2021-07-12 16:00:00,32786.89844,32976.30859,32665.71094,32874.12109
2021-07-12 18:00:00,32859.01172,33264.76172,32859.01172,33115.39062
2021-07-12 20:00:00,33092.50000,33199.76172,32840.58984,33156.71094
2021-07-12 22:00:00,33190.28906,33220.00000,33065.98828,33080.00000
2021-07-13 00:00:00,33106.80859,33161.46875,32757.23047,32817.42969
2021-07-13 02:00:00,32844.53906,33285.12109,32817.08984,33180.26172
2021-07-13 04:00:00,33217.46094,33286.78125,33110.00000,33286.78125
2021-07-13 06:00:00,33280.94922,33306.94141,32932.00000,33033.42188
2021-07-13 08:00:00,32990.01172,33023.39844,32312.74023,32600.00000
2021-07-13 10:00:00,32574.23047,32814.35156,32468.05078,32773.98828
2021-07-13 12:00:00,32776.48047,32924.16016,32631.13086,32793.21875
2021-07-13 14:00:00,32756.81055,32756.81055,32260.43945,32260.43945
2021-07-13 16:00:00,32277.84961,32626.44922,32269.65039,32577.48047
2021-07-13 18:00:00,32583.89062,32739.89062,32435.65039,32726.76953
2021-07-13 20:00:00,32761.72070,32779.67188,32265.96094,32358.39062
2021-07-13 22:00:00,32360.53906,32577.48047,31705.00977,31839.50977
2021-07-14 00:00:00,31805.14062,32011.42969,31691.01953,31811.78906
2021-07-14 02:00:00,31868.19922,31977.33984,31784.21094,31915.32031
2021-07-14 04:00:00,31922.46094,32476.47070,31608.91992,32327.83984
2021-07-14 06:00:00,32312.68945,32648.71094,32287.34961,32444.30078
2021-07-14 08:00:00,32512.00000,32840.39844,32293.10938,32809.01172
2021-07-14 10:00:00,32850.00000,32911.21875,32742.58008,32786.01172
2021-07-14 12:00:00,32817.64844,32900.01172,32720.28906,32850.12891
2021-07-14 14:00:00,32849.28906,33053.73828,32603.39062,32732.94922
2021-07-14 16:00:00,32712.71094,32929.30859,32712.71094,32848.60938
2021-07-14 18:00:00,32863.30859,33015.87891,32725.00977,32822.23828
2021-07-14 20:00:00,32806.82031,33153.53906,32707.43945,32764.00000
2021-07-14 22:00:00,32768.17188,32902.48828,32656.85938,32675.51953
2021-07-15 00:00:00,32646.01953,32675.18945,32461.66016,32578.93945
2021-07-15 02:00:00,32557.30078,32650.00000,32380.14062,32455.58984
2021-07-15 04:00:00,32455.38086,32593.86914,32333.24023,32489.91016
2021-07-15 06:00:00,32486.58984,32568.05078,31828.22070,31891.63086
2021-07-15 08:00:00,31881.33008,32080.72070,31506.66016,31838.83984
2021-07-15 10:00:00,31835.10938,31925.83984,31677.48047,31696.61914
2021-07-15 12:00:00,31709.63086,31728.33984,31181.44922,31252.08008
2021-07-15 14:00:00,31283.67969,31765.16992,31250.77930,31566.58984
2021-07-15 16:00:00,31597.82031,31782.63086,31571.80078,31720.17969
2021-07-15 18:00:00,31679.99023,31852.60938,31514.11914,31835.57031
2021-07-15 20:00:00,31879.18945,31922.98047,31579.16016,31823.44922
2021-07-15 22:00:00,31846.65039,32015.65039,31830.58008,31936.19922
2021-07-16 00:00:00,31941.44922,32012.66992,31766.36914,31784.82031
2021-07-16 02:00:00,31780.00000,31788.41992,31557.83008,31692.58008
2021-07-16 04:00:00,31763.77930,31763.77930,31330.00000,31402.13086
2021-07-16 06:00:00,31399.24023,31442.25000,31071.97070,31095.46094
