datetime,open,high,low,close,volume
2021-06-24 13:30:00,218.87,219.13,217.28999,218.32001,3215596
2021-06-25 09:30:00,221.71001,225.05,221.12,224.925,12211913
2021-06-25 13:30:00,224.92,230.2,224.4301,228.50999,8987411
2021-06-28 09:30:00,229.27,230.89,226.75,227.31,8292107
2021-06-28 13:30:00,227.28,230.19,227.162,228.59,4206000
2021-06-29 09:30:00,226.5,229.64,225.60201,228.7399,6350792
2021-06-29 13:30:00,228.75,229.58,228.35001,229.46001,2845089
2021-06-30 09:30:00,226.78999,227.93359,225.7,226.95,5906354
2021-06-30 13:30:00,226.94,226.95,225.91,226.80499,2836009
2021-07-01 09:30:00,228.0,228.78999,221.63,222.19501,8674673
2021-07-01 13:30:00,222.19,222.7299,221.55,221.84,3838726
2021-07-02 09:30:00,218.5,218.5,216.50999,217.83501,8695809
2021-07-02 13:30:00,217.85001,218.28999,217.59,217.75999,3899937
2021-07-06 09:30:00,215.19,215.32001,209.37331,210.2897,17355422
2021-07-06 13:30:00,210.28,211.78,210.0,211.60001,4820473
2021-07-07 09:30:00,211.21001,212.05,208.7635,208.88499,10939523
2021-07-07 13:30:00,208.88,209.80009,207.82001,207.925,6473033
2021-07-08 09:30:00,201.67999,202.27299,198.25999,199.81,23020794
2021-07-08 13:30:00,199.81,201.42999,199.61,200.0,9891981
2021-07-09 09:30:00,202.05,207.0499,201.5,206.25011,11341370
2021-07-09 13:30:00,206.25,207.25,205.85001,206.0,4829843
2021-07-12 09:30:00,203.5,206.455,203.02,206.155,7717585
2021-07-12 13:30:00,206.16,206.38,205.23,205.44,3225243
2021-07-13 09:30:00,209.24001,212.81,208.19,210.8172,12856074
2021-07-13 13:30:00,210.82001,210.82001,209.17,209.50999,4124691
2021-07-14 09:30:00,215.325,216.35001,211.67,211.92999,14615746
2021-07-14 13:30:00,211.98,212.36,211.0376,211.42999,4249302
2021-07-15 09:30:00,214.94,216.60001,213.1606,213.75,10062236
2021-07-15 13:30:00,213.69,215.21719,213.2375,214.66,3714701
2021-07-16 09:30:00,214.535,214.7,211.55,211.91,7055014
2021-07-16 13:30:00,211.89999,212.2,211.46001,212.13,3567212
2021-07-19 09:30:00,206.10001,207.88,203.25,207.34731,10802281
2021-07-19 13:30:00,207.28999,209.08,207.28999,208.92,3890514
2021-07-20 09:30:00,208.99001,210.17999,207.4668,209.155,5713814
2021-07-20 13:30:00,209.17,211.5,209.0238,210.84,2662458
2021-07-21 09:30:00,209.0253,211.85001,208.42,210.94,5266038
2021-07-21 13:30:00,210.96001,211.185,210.36,211.08,1991619
2021-07-22 09:30:00,212.72,216.39,212.7,213.89,7235430
2021-07-22 13:30:00,213.87,214.28999,213.82001,214.03999,2358662
2021-07-23 09:30:00,206.25,206.74001,203.57001,205.41,17904948
2021-07-23 13:30:00,205.39999,206.89,204.78999,206.52499,6312712
2021-07-26 09:30:00,198.3,198.55,190.88,192.60001,39545373
2021-07-26 13:30:00,192.63,193.12,191.31,191.52,13982308
2021-07-27 09:30:00,183.59,186.89999,179.6701,180.32001,43187507
2021-07-27 13:30:00,180.35001,186.35001,180.00999,186.06,15048317
2021-07-28 09:30:00,190.17,196.42,189.8,195.02,24596851
2021-07-28 13:30:00,195.075,198.0,193.575,196.0117,9354174
2021-07-29 09:30:00,200.92999,201.14,194.91,198.91,17509270
2021-07-29 13:30:00,198.91,199.2654,197.42,197.67,5243852
2021-07-30 09:30:00,190.58,196.045,190.53999,194.78,11852341
2021-07-30 13:30:00,194.77,195.48,193.8701,195.17999,4522117
